seme,insieme,n_finestre,RMSE,SS,parametri,composizione,n_blocchi,n_finestre_train
2,test_id,172,0.015379311516880989,-0.9456303119659424,16705,omogenea,5,860
2,test_ood,150,0.008815877139568329,-0.2015364170074463,16705,omogenea,5,860
0,train,885,0.02992866560816765,0.41800832748413086,16705,omogenea,6,885
0,validation,158,0.008348662406206131,-0.5288214683532715,16705,omogenea,6,885
0,test_id,172,0.01153598167002201,-0.09470129013061523,16705,omogenea,6,885
0,test_ood,150,0.008080584928393364,-0.009465575218200684,16705,omogenea,6,885
1,train,885,0.029108533635735512,0.44946783781051636,16705,omogenea,6,885
1,validation,158,0.006964579690247774,-0.06392931938171387,16705,omogenea,6,885
1,test_id,172,0.016268162056803703,-1.177025556564331,16705,omogenea,6,885
1,test_ood,150,0.008347569033503532,-0.07727336883544922,16705,omogenea,6,885
2,train,885,0.028093472123146057,0.487194299697876,16705,omogenea,6,885
2,validation,158,0.006583116482943296,0.049425721168518066,16705,omogenea,6,885
2,test_id,172,0.026279844343662262,-4.681095123291016,16705,omogenea,6,885
2,test_ood,150,0.008087383583188057,-0.01116478443145752,16705,omogenea,6,885
0,train,341,0.011080751195549965,0.3951743245124817,16705,eterogenea,3,341
0,validation,158,0.011774647980928421,-2.0410170555114746,16705,eterogenea,3,341
0,test_id,172,0.014136726036667824,-0.6439331769943237,16705,eterogenea,3,341
0,test_ood,150,0.014353129081428051,-2.1849238872528076,16705,eterogenea,3,341
1,train,341,0.011323715560138226,0.36835986375808716,16705,eterogenea,3,341
1,validation,158,0.01117867324501276,-1.7409651279449463,16705,eterogenea,3,341
1,test_id,172,0.016928724944591522,-1.3574094772338867,16705,eterogenea,3,341
1,test_ood,150,0.020366884768009186,-5.412909507751465,16705,eterogenea,3,341
2,train,341,0.01708098314702511,-0.4372011423110962,16705,eterogenea,3,341
2,validation,158,0.022930778563022614,-10.533485412597656,16705,eterogenea,3,341
2,test_id,172,0.014931399375200272,-0.8339502811431885,16705,eterogenea,3,341
2,test_ood,150,0.01882844790816307,-4.480686187744141,16705,eterogenea,3,341
0,train,364,0.013649909757077694,0.09826546907424927,16705,eterogenea,4,364
0,validation,158,0.020409688353538513,-8.136833190917969,16705,eterogenea,4,364
0,test_id,172,0.02819538488984108,-5.539470195770264,16705,eterogenea,4,364
0,test_ood,150,0.017211152240633965,-3.579580783843994,16705,eterogenea,4,364
1,train,364,0.010906209237873554,0.4243389964103699,16705,eterogenea,4,364
1,validation,158,0.009350738488137722,-0.9178507328033447,16705,eterogenea,4,364
1,test_id,172,0.011718210764229298,-0.12955951690673828,16705,eterogenea,4,364
1,test_ood,150,0.01354851946234703,-1.837850570678711,16705,eterogenea,4,364
2,train,364,0.009806950576603413,0.5345349311828613,16705,eterogenea,4,364
2,validation,158,0.008670777082443237,-0.6490695476531982,16705,eterogenea,4,364
2,test_id,172,0.011069969274103642,-0.008043646812438965,16705,eterogenea,4,364
2,test_ood,150,0.008351919241249561,-0.07839643955230713,16705,eterogenea,4,364
0,train,421,0.8398875594139099,0.32739830017089844,16705,eterogenea,5,421
0,validation,158,0.015789465978741646,-4.468369483947754,16705,eterogenea,5,421
0,test_id,172,0.012952984310686588,-0.3801497220993042,16705,eterogenea,5,421
0,test_ood,150,0.01517555397003889,-2.5603690147399902,16705,eterogenea,5,421
1,train,421,0.877116858959198,0.2664485573768616,16705,eterogenea,5,421
1,validation,158,0.034091439098119736,-24.492570877075195,16705,eterogenea,5,421
1,test_id,172,0.2475396990776062,-503.05303955078125,16705,eterogenea,5,421
1,test_ood,150,0.059900932013988495,-54.471900939941406,16705,eterogenea,5,421
2,train,421,0.8886337280273438,0.24705851078033447,16705,eterogenea,5,421
2,validation,158,0.056549057364463806,-69.14128875732422,16705,eterogenea,5,421
2,test_id,172,0.39553651213645935,-1285.9439697265625,16705,eterogenea,5,421
2,test_ood,150,0.05600453540682793,-47.490013122558594,16705,eterogenea,5,421
0,train,439,0.9241544604301453,0.1508464217185974,16705,eterogenea,6,439
0,validation,158,0.04736601188778877,-48.21036911010742,16705,eterogenea,6,439
0,test_id,172,0.19505299627780914,-311.96209716796875,16705,eterogenea,6,439
