modello,seme,insieme,epoche,MAE,RMSE,SS
GRU,3,test_ood,96,0.014428176917135715,0.016434995305682303,-3.1758515283105995
GRU,4,train,119,0.0063841817900538445,0.010018164175913486,-0.0256761261407632
GRU,4,validation,119,0.011259092949330807,0.015068428421202252,-3.980338971798206
GRU,4,test_id,119,0.02650168351829052,0.032444568743426085,-7.659055602013796
GRU,4,test_ood,119,0.017788130789995193,0.022058091034327706,-6.522145500950782
GRU,5,train,76,0.010870157741010189,0.015158792424890617,-1.348351864805184
GRU,5,validation,76,0.022305069491267204,0.02763763938421801,-15.754245526096685
GRU,5,test_id,76,0.01714765839278698,0.021392456301879758,-2.7645045270648305
GRU,5,test_ood,76,0.02035122737288475,0.026423925266232523,-9.794450646762755
GRU,6,train,150,0.00664395559579134,0.01032507169022712,-0.08948212533933919
GRU,6,validation,150,0.010119217447936535,0.014809219314215335,-3.810467815808906
GRU,6,test_id,150,0.011245407164096832,0.016304121432144957,-1.1866602952509573
GRU,6,test_ood,150,0.011279299855232239,0.016534388025694957,-3.226512239251882
GRU,7,train,59,0.01277212519198656,0.016610726814330633,-1.8197540510461971
GRU,7,validation,59,0.026140043511986732,0.03403327783168655,-24.405663531573587
GRU,7,test_id,59,0.03598276898264885,0.04410596727551149,-15.00225617065307
GRU,7,test_ood,59,0.03098341077566147,0.036196147337445264,-19.25492199420813
GRU,8,train,29,0.020068833604454994,0.026775857660192734,-6.326908012402515
GRU,8,validation,29,0.03206334263086319,0.04349502365387286,-40.495607449087125
GRU,8,test_id,29,0.16300369799137115,0.18389795342969167,-277.18922769487784
GRU,8,test_ood,29,0.0730261281132698,0.10277230211745032,-162.28942136963312
GRU,9,train,56,0.014812578447163105,0.018972615349756725,-2.6786490868950086
GRU,9,validation,56,0.03329949080944061,0.040294050432368875,-34.61269458145925
GRU,9,test_id,56,0.039911068975925446,0.047784161783187624,-17.782545991861603
GRU,9,test_ood,56,0.02705714851617813,0.034122277478394664,-17.000389424350494
