seme,insieme,RMSE,SS,configurazione
5,validation,0.0064744106493890285,0.08055984973907471,M0 + temperature_mean_rise_rel
5,test_id,0.01082684751600027,0.0357479453086853,M0 + temperature_mean_rise_rel
5,test_ood,0.007684905547648668,0.08697444200515747,M0 + temperature_mean_rise_rel
0,train,0.009563319385051727,0.06534510850906372,M0 + temperature_max_rise_rel
0,validation,0.00675353454425931,-0.0004266500473022461,M0 + temperature_max_rise_rel
0,test_id,0.010837838985025883,0.03378915786743164,M0 + temperature_max_rise_rel
0,test_ood,0.008729296736419201,-0.17805182933807373,M0 + temperature_max_rise_rel
1,train,0.00963546521961689,0.0511898398399353,M0 + temperature_max_rise_rel
1,validation,0.006536599714308977,0.0628119707107544,M0 + temperature_max_rise_rel
1,test_id,0.010868155397474766,0.02837604284286499,M0 + temperature_max_rise_rel
1,test_ood,0.008315851911902428,-0.06910252571105957,M0 + temperature_max_rise_rel
2,train,0.010295195505023003,-0.08318626880645752,M0 + temperature_max_rise_rel
2,validation,0.006502163130789995,0.07266056537628174,M0 + temperature_max_rise_rel
2,test_id,0.010938839055597782,0.01569652557373047,M0 + temperature_max_rise_rel
2,test_ood,0.012437786906957626,-1.3916196823120117,M0 + temperature_max_rise_rel
3,train,0.009473429061472416,0.08283311128616333,M0 + temperature_max_rise_rel
3,validation,0.006540763657540083,0.061617493629455566,M0 + temperature_max_rise_rel
3,test_id,0.01083728950470686,0.03388720750808716,M0 + temperature_max_rise_rel
3,test_ood,0.008146441541612148,-0.025986671447753906,M0 + temperature_max_rise_rel
4,train,0.009582207538187504,0.0616493821144104,M0 + temperature_max_rise_rel
4,validation,0.006647969596087933,0.03060448169708252,M0 + temperature_max_rise_rel
4,test_id,0.011058924719691277,-0.00603330135345459,M0 + temperature_max_rise_rel
4,test_ood,0.008577264845371246,-0.1373746395111084,M0 + temperature_max_rise_rel
5,train,0.009564731270074844,0.06506919860839844,M0 + temperature_max_rise_rel
5,validation,0.0064997016452252865,0.07336252927780151,M0 + temperature_max_rise_rel
5,test_id,0.010843519121408463,0.03277617692947388,M0 + temperature_max_rise_rel
5,test_ood,0.007736575324088335,0.07465559244155884,M0 + temperature_max_rise_rel
0,train,0.014777547679841518,-1.2317147254943848,M0 + temperature_std_rel
0,validation,0.010026211850345135,-1.204939842224121,M0 + temperature_std_rel
0,test_id,0.015281179919838905,-0.9208801984786987,M0 + temperature_std_rel
0,test_ood,0.02116251178085804,-5.923732280731201,M0 + temperature_std_rel
1,train,0.009587341919541359,0.060643672943115234,M0 + temperature_std_rel
1,validation,0.006509989034384489,0.07042700052261353,M0 + temperature_std_rel
1,test_id,0.010755837894976139,0.048354923725128174,M0 + temperature_std_rel
1,test_ood,0.008731251582503319,-0.1785794496536255,M0 + temperature_std_rel
2,train,0.010046092793345451,-0.03140270709991455,M0 + temperature_std_rel
2,validation,0.006565595045685768,0.05447906255722046,M0 + temperature_std_rel
2,test_id,0.01081329956650734,0.038159728050231934,M0 + temperature_std_rel
2,test_ood,0.007607937790453434,0.1051715612411499,M0 + temperature_std_rel
3,train,0.01028103195130825,-0.0802079439163208,M0 + temperature_std_rel
3,validation,0.00729027297347784,-0.16576385498046875,M0 + temperature_std_rel
3,test_id,0.011189526878297329,-0.029935359954833984,M0 + temperature_std_rel
3,test_ood,0.009926007129251957,-0.523193359375,M0 + temperature_std_rel
