seme,insieme,n_finestre,RMSE,SS,parametri,modello,n_blocchi,n_finestre_train
0,train,885,0.037675101310014725,0.07774519920349121,9985,Transformer,6,885
0,validation,158,0.007119616027921438,-0.1118241548538208,9985,Transformer,6,885
0,test_id,172,0.011991730891168118,-0.1829061508178711,9985,Transformer,6,885
0,test_ood,150,0.007617889437824488,0.10282903909683228,9985,Transformer,6,885
1,train,885,0.037598397582769394,0.08149677515029907,9985,Transformer,6,885
1,validation,158,0.008021898567676544,-0.41148853302001953,9985,Transformer,6,885
1,test_id,172,0.014931517653167248,-0.8339793682098389,9985,Transformer,6,885
1,test_ood,150,0.00865358579903841,-0.1577054262161255,9985,Transformer,6,885
2,train,885,0.038147348910570145,0.054479897022247314,9985,Transformer,6,885
2,validation,158,0.008214575238525867,-0.48010730743408203,9985,Transformer,6,885
2,test_id,172,0.011889048852026463,-0.16273510456085205,9985,Transformer,6,885
2,test_ood,150,0.009025768376886845,-0.25943052768707275,9985,Transformer,6,885
